herb_id,herb_name_en,botanical_name,image_url,page_url
HERB-0047,Anemarrhena rhizome,Anemarrhena asphodeloides,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Anemarrhena_asphodeloides-NMNH-03958679.jpg/250px-Anemarrhena_asphodeloides-NMNH-03958679.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Anemarrhena
HERB-0048,Amur cork tree bark,Phellodendron amurense,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Phellodendron_amurense_Morton.jpg/250px-Phellodendron_amurense_Morton.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Phellodendron_amurense
HERB-0049,Chinese skullcap root,Scutellaria baicalensis,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Scutellaria_baicalensis_flowers.jpg/250px-Scutellaria_baicalensis_flowers.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Scutellaria_baicalensis
HERB-0051,Gardenia fruit,Gardenia jasminoides,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Gardenia_jasminoides_flower_Argentina.jpg/250px-Gardenia_jasminoides_flower_Argentina.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Gardenia_jasminoides
HERB-0053,Pinellia tuber,Pinellia ternata,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Puanh_ghrah.jpg/250px-Puanh_ghrah.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Pinellia_ternata
HERB-0054,Magnolia bark,Magnolia officinalis,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Magnolia_officinalis_habit.jpg/250px-Magnolia_officinalis_habit.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Magnolia_officinalis
HERB-0055,Costus root,Aucklandia costus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Saussurea_%C2%BF_costus_%3F_%287839595576%29.jpg/250px-Saussurea_%C2%BF_costus_%3F_%287839595576%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Dolomiaea_costus
HERB-0056,Villous amomum fruit,Wurfbainia villosa,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Amomum_villosum_-_Hong_Kong_Botanical_Garden_-_IMG_9580.JPG/250px-Amomum_villosum_-_Hong_Kong_Botanical_Garden_-_IMG_9580.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Wurfbainia_villosa
HERB-0058,Asian plantain seed,Plantago asiatica,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Plantago_asiatica.jpg/250px-Plantago_asiatica.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Plantago_asiatica
HERB-0059,Job's tears,Coix lacryma-jobi,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Coix_lacryma-jobi1.jpg/250px-Coix_lacryma-jobi1.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Job%27s_tears
HERB-0060,Corn silk,Zea mays,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Zea_mays_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-283.jpg/250px-Zea_mays_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-283.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Maize
HERB-0061,Eucommia bark,Eucommia ulmoides,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Eucommia-ulmoides.JPG/250px-Eucommia-ulmoides.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Eucommia_ulmoides
HERB-0063,Drynaria rhizome,Drynaria roosii,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/%E6%A7%B2%E8%95%A8.jpg/250px-%E6%A7%B2%E8%95%A8.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Drynaria_roosii
